Country,CODE,GDI,GDI group,HDI F,HDI M,LEB F,LEB M,EYS F,EYS M,MYS F,MYS M,EGN F,EGN M
Norway,NOR,0.9962999519809583,1,0.940410693542496,0.943903180636176,83.6,79.5,18.19054,16.8241,12.68,12.548,57139.78587688331,72824.95370430208
Australia,AUS,0.9757158060123409,1,0.9223063038756093,0.945261210479913,84.5,80.3,20.72467,19.72474,13.0691,12.85581,33688.07252189707,50913.74432253287
Switzerland,CHE,0.9504727881242205,2,0.8982930473486904,0.9451012786189198,85,80.8,15.70207,15.87935,11.5,13.1,44131.598189058845,69076.74210491862
Denmark,DNK,0.9767782338092531,1,0.9119645713232494,0.933645468088245,82.2,78.3,19.32247,18.07368,12.80576,12.65413,36439.43933279977,51726.63817799099
Netherlands,NLD,0.9471389918715257,3,0.8930012149182754,0.9428407262103367,83.3,79.7,17.96617,17.88358,11.61511,12.17535,29500.24161624687,61641.44187696786
Germany,DEU,0.963000529225753,2,0.9011228897530674,0.9357449579779206,83.3,78.5,16.30509,16.6055,12.94895266,13.78028839,34885.68104854806,53290.15741492185
Ireland,IRL,0.9729332936319626,2,0.9006077806876852,0.9256624134278661,83,78.8,18.49508,18.65181,12.31,11.95,30104.410396520107,49165.55919161705
United States,USA,0.9950475540514312,1,0.9110990937607991,0.9156337202691189,81.4,76.7,17.21813,15.67161,12.98192482,12.90012776,43053.88629573285,63157.51757237436
Canada,CAN,0.981557958172019,1,0.9037274430273912,0.9207071630394872,84,80,16.29519375,15.47568594,13.05593015,12.97310109,33586.69226543883,50852.65627691333
New Zealand,NZL,0.9611623830440129,2,0.8936681557706521,0.9297785385029262,83.6,80,20.02695,18.26619,12.45,12.554,24308.680293076595,41372.33269736539
Singapore,SGP,0.9853178380310339,1,0.898297595885388,0.9116830744488105,86,79.9,15.5,15.3,10.12,10.93,59993.97040750498,93698.95315236112
"Hong Kong, China (SAR)",HKG,0.958370801761946,2,0.891990177323334,0.9307359695051513,86.8,81.2,15.65571,15.54659,10.93372,11.87659,38060.282708256374,72052.23416433115
Sweden,SWE,0.9994072581230604,1,0.9058713802063373,0.9064086465687787,83.9,80.4,16.59266,15.06843,12.23402596,11.95102787,40221.74364091655,51084.02366685821
United Kingdom,GBR,0.9648710513578573,2,0.8877097243201878,0.9200293894929474,82.6,78.7,16.61815,15.75971,12.94508008,13.16381171,27259.070627398192,51627.518420566346
Iceland,ISL,0.9747507224311833,1,0.885758399489078,0.9087024806504945,84,81,20.0708,17.9229,10.76,10.37,28792.015959085027,41486.34814494524
Korea (Republic of),PRK,0.9300486050834222,3,0.8612180862631155,0.9259925573307721,85,78.5,15.99901,17.6569,11.15,12.69,21896.450207303977,46017.8093616796
Israel,ISR,0.9710050907929909,2,0.8786343221402287,0.9048709738716965,84.1,80.5,16.47146,15.45427,12.52981,12.56069,22451.090887926606,39063.613038167285
Luxembourg,LUX,0.9709273770312964,2,0.8770139792188809,0.9032745393382925,83.9,79.3,13.97783,13.72926,11.34526,12.06856,47723.09910649358,69799.58735234811
Japan,JPN,0.9614907819979013,2,0.8700157372461446,0.9048612358387057,86.7,80.2,15.17585,15.46971,11.34,11.69,24975.24239088367,49540.98348483851
Belgium,BEL,0.9747190053833827,1,0.8721840858395516,0.8948056629884821,83.2,78.3,16.66279,16.00475,10.5919521,11.07431804,31879.029657981115,50845.1870144333
France,FRA,0.9868028738737977,1,0.881388269985153,0.8931756213124626,85.1,79.2,16.37341,15.63856,10.9589,11.32659,31072.62777886064,45497.288722213096
Austria,AUT,0.9425237929708744,3,0.8563630144611105,0.9085850360995328,83.8,78.8,16.05931,15.44611,9.859441598,11.89705953,29597.557406189142,58826.39818663049
Finland,FIN,0.9964178006723541,1,0.8790884574259035,0.8822488486583839,83.6,78,17.66569,16.49861,10.21,10.15,31644.336839029773,45994.23243106783
Slovenia,SVN,0.9956189783226368,1,0.8771805973415455,0.8810404546720979,83.4,77.3,17.65485,16.03326,11.77336,12.01896,22179.601281884698,33593.078436666736
Spain,ESP,0.9754292372343601,1,0.8634665765771871,0.885217034323657,85.3,79.8,17.73062,16.97913,9.35962,9.8184,24058.66012414403,40221.30357581517
Italy,ITA,0.9635203248997352,2,0.8511029220198664,0.8833263814216197,85.5,80.6,16.52704,15.58049,9.547196035,10.1691632,22526.08152595225,44147.63075247806
Czech Republic,CZE,0.9795210649870177,1,0.8589272954879431,0.8768849657146751,81.5,75.7,16.85506,15.83119,12.14,12.5164,19929.245485723695,33603.94205981684
Greece,GRC,0.9605656099854781,2,0.8442677445417981,0.8789277231719359,83.8,78,17.70316,17.55332,9.84259,10.49485,17288.105391950034,31952.110529630554
Estonia,EST,1.0296788675382023,2,0.8716336985425422,0.8465102334541247,81.3,72,17.41809,15.57991,12.71,12.17,20854.289527663357,30253.545004340107
Brunei Darussalam,BRN,0.9769125186147534,1,0.8398226710952292,0.8596702929818983,80.7,77,14.86597,14.20988,8.48,8.98,54228.19060913352,90436.60578544522
Cyprus,CYP,0.9714029072829304,2,0.8362471383913905,0.8608653856414963,82.4,78,14.18327,13.77167,11.4286,11.83069,22613.239799855488,34399.679067236975
Qatar,QAT,0.9983418151439845,1,0.8526742930904835,0.8540905330780998,79.9,77.3,14.03892,13.85817,10.38893,8.76785,55123.46357053505,143978.8095582374
Slovakia,SVK,0.9994350443013418,1,0.8413887191026993,0.841864335156343,79.9,72.5,15.6615,14.48763,12.25545151,12.1888343,19903.18221261819,32122.489668344682
Poland,POL,1.0066286583548065,1,0.8444682725866236,0.8389074417638662,81.4,73.4,16.26881,14.69213,11.74608,11.91169,18422.97431795495,28270.588183855118
Lithuania,LTU,1.0300093294874664,2,0.8513971981933612,0.826591734481684,78.9,67.7,16.92297,15.85564,12.32597,12.45596,20954.66117051149,28655.655335281273
Malta,MLT,0.936737617494665,3,0.806415739572899,0.8608768608329022,82.2,78.8,14.78608,14.04714,9.904264748,10.77238594,16434.70600783018,39432.43061664986
Saudi Arabia,SAU,0.9010569159544881,4,0.7784595615188425,0.8639404989131254,75.7,73,16.56019,16.05217,7.785868156,9.279707655,20093.776626270235,77044.18887645022
Argentina,ARG,0.9822879101402204,1,0.8189047551312651,0.8336708073851459,80.1,72.4,19.08979,16.83544,9.834001245,9.823627826,14201.986397461753,30237.478413615958
United Arab Emirates,ARE,0.9541477340975549,2,0.7963406244798255,0.8346093545283263,78.5,76.3,13.9,12.9,9.93,8.53,22391.321388272554,77300.46703481422
Chile,CHL,0.9669120652410899,2,0.8147977558690728,0.8426803068859329,84.5,78.6,15.45195,15.04654,9.68285,9.89949,14731.798221991678,27991.859612889482
Portugal,PRT,0.9846545075161063,1,0.82293204660343,0.8357571516930968,83.8,77.9,16.54144,16.09859,8.11393,8.39043,21259.483461973352,30542.868682814973
Hungary,HUN,0.9760557460128072,1,0.817619658963599,0.8376772149578336,78.7,71.5,15.6638,15.1221,11.27100898,12.18763595,17442.797294054948,28959.9171728341
Bahrain,BHR,0.9400352199131972,3,0.7886634714513223,0.8389722584268146,77.6,75.8,15.1,13.7,9.1,9.6314,20038.343221042014,49889.73744460094
Latvia,LVA,1.0293637150808996,2,0.8287889795876485,0.8051468761190135,78.9,69.1,15.87838,14.61956,11.74472698,11.16530881,18436.72092590837,26844.80950615043
Croatia,HRV,0.9866419334221683,1,0.8119299069056329,0.8229225612674432,80.6,74,15.43587,14.20626,10.51242,11.60343,16200.121079406854,22852.54146234213
