country,hdi_rank,hdi,life_expectancy_at_birth,expected_years_of_schooling,mean_years_of_schooling,gni,gni_rank_minus_hdi_rank,mark,iso_a3
Norway,1,0.944,81.6,17.5,12.6,64992,5,VH,NOR
Australia,2,0.935,82.4,20.2,13.0,42261,17,VH,AUS
Switzerland,3,0.93,83.0,15.8,12.8,56431,6,VH,CHE
Denmark,4,0.923,80.2,18.7,12.7,44025,11,VH,DNK
Netherlands,5,0.922,81.6,17.9,11.9,45435,9,VH,NLD
Germany,6,0.916,80.9,16.5,13.1,43919,11,VH,DEU
Ireland,6,0.916,80.9,18.6,12.2,39568,16,VH,IRL
United States,8,0.915,79.1,16.5,12.9,52947,3,VH,USA
Canada,9,0.913,82.0,15.9,13.0,42155,11,VH,CAN
New Zealand,9,0.913,81.8,19.2,12.5,32689,23,VH,NZL
Singapore,11,0.912,83.0,15.4,10.6,76628,-7,VH,SGP
"Hong Kong, China (SAR)",12,0.91,84.0,15.6,11.2,53959,-2,VH,HKG
Liechtenstein,13,0.908,80.0,15.0,11.8,79851,-10,VH,
Sweden,14,0.907,82.2,15.8,12.1,45636,-1,VH,SWE
United Kingdom,14,0.907,80.7,16.2,13.1,39267,9,VH,GBR
Iceland,16,0.899,82.6,19.0,10.6,35182,12,VH,ISL
Korea (Republic of),17,0.898,81.9,16.9,11.9,33890,13,VH,PRK
Israel,18,0.894,82.4,16.0,12.5,30676,16,VH,ISR
Luxembourg,19,0.892,81.7,13.9,11.7,58711,-11,VH,LUX
Japan,20,0.891,83.5,15.3,11.5,36927,7,VH,JPN
Belgium,21,0.89,80.8,16.3,11.3,41187,0,VH,BEL
France,22,0.888,82.2,16.0,11.1,38056,4,VH,FRA
Austria,23,0.885,81.4,15.7,10.8,43869,-5,VH,AUT
Finland,24,0.883,80.8,17.1,10.3,38695,0,VH,FIN
Slovenia,25,0.88,80.4,16.8,11.9,27852,12,VH,SVN
Spain,26,0.876,82.6,17.3,9.6,32045,7,VH,ESP
Italy,27,0.873,83.1,16.0,10.1,33030,4,VH,ITA
Czech Republic,28,0.87,78.6,16.4,12.3,26660,10,VH,CZE
Greece,29,0.865,80.9,17.6,10.3,24524,14,VH,GRC
Estonia,30,0.861,76.8,16.5,12.5,25214,12,VH,EST
Brunei Darussalam,31,0.856,78.8,14.5,8.8,72570,-26,VH,BRN
Cyprus,32,0.85,80.2,14.0,11.6,28633,3,VH,CYP
Qatar,32,0.85,78.2,13.8,9.1,123124,-31,VH,QAT
Andorra,34,0.845,81.3,13.5,9.6,43978,-18,VH,
Slovakia,35,0.844,76.3,15.1,12.2,25845,5,VH,SVK
Poland,36,0.843,77.4,15.5,11.8,23177,10,VH,POL
Lithuania,37,0.839,73.3,16.4,12.4,24500,7,VH,LTU
Malta,37,0.839,80.6,14.4,10.3,27930,-1,VH,MLT
Saudi Arabia,39,0.837,74.3,16.3,8.7,52821,-27,VH,SAU
Argentina,40,0.836,76.3,17.9,9.8,22050,11,VH,ARG
United Arab Emirates,41,0.835,77.0,13.3,9.5,60868,-34,VH,ARE
Chile,42,0.832,81.7,15.2,9.8,21290,11,VH,CHL
Portugal,43,0.83,80.9,16.3,8.2,25757,-2,VH,PRT
Hungary,44,0.828,75.2,15.4,11.6,22916,3,VH,HUN
Bahrain,45,0.824,76.6,14.4,9.4,38599,-20,VH,BHR
Latvia,46,0.819,74.2,15.2,11.5,22281,4,VH,LVA
Croatia,47,0.818,77.3,14.8,11.0,19409,11,VH,HRV
Kuwait,48,0.816,74.4,14.7,7.2,83961,-46,VH,KWT
Montenegro,49,0.802,76.2,15.2,11.2,14558,27,VH,MNE
Belarus,50,0.798,71.3,15.7,12.0,16676,14,H,BLR
Russian Federation,50,0.798,70.1,14.7,12.0,22352,-1,H,RUS
Oman,52,0.793,76.8,13.6,8.0,34858,-23,H,OMN
Romania,52,0.793,74.7,14.2,10.8,18108,10,H,ROU
Uruguay,52,0.793,77.2,15.5,8.5,19283,7,H,URY
Bahamas,55,0.79,75.4,12.6,10.9,21336,-3,H,
Kazakhstan,56,0.788,69.4,15.0,11.4,20867,-1,H,KAZ
Barbados,57,0.785,75.6,15.4,10.5,12488,27,H,BRB
Antigua and Barbuda,58,0.783,76.1,14.0,9.2,20070,-1,H,
Bulgaria,59,0.782,74.2,14.4,10.6,15596,13,H,BGR
Palau,60,0.78,72.7,13.7,12.3,13496,18,H,
Panama,60,0.78,77.6,13.3,9.3,18192,1,H,PAN
Malaysia,62,0.779,74.7,12.7,10.0,22762,-14,H,MYS
