HDI rank;Country;Human Development Index (HDI) ;Life expectancy at birth;Expected years of schooling ;Mean years of schooling;Gross national income (GNI) per capita (2011 PPP $);GNI per capita rank minus HDI rank
50;Belarus;0,798;71,3;15,7;12,0;16676;14
50;Russian Federation;0,798;70,1;14,7;12,0;22352;-1
52;Oman;0,793;76,8;13,6;8,0;34858;-23
52;Romania;0,793;74,7;14,2;10,8;18108;10
52;Uruguay;0,793;77,2;15,5;8,5;19283;7
55;Bahamas;0,790;75,4;12,6;10,9;21336;-3
56;Kazakhstan;0,788;69,4;15,0;11,4;20867;-1
57;Barbados;0,785;75,6;15,4;10,5;12488;27
58;Antigua and Barbuda;0,783;76,1;14,0;9,2;20070;-1
59;Bulgaria;0,782;74,2;14,4;10,6;15596;13
60;Palau;0,780;72,7;13,7;12,3;13496;18
60;Panama;0,780;77,6;13,3;9,3;18192;1
62;Malaysia;0,779;74,7;12,7;10,0;22762;-14
63;Mauritius;0,777;74,4;15,6;8,5;17470;0
64;Seychelles;0,772;73,1;13,4;9,4;23300;-19
64;Trinidad and Tobago;0,772;70,4;12,3;10,9;26090;-25
66;Serbia;0,771;74,9;14,4;10,5;12190;20
67;Cuba;0,769;79,4;13,8;11,5;7301;47
67;Lebanon;0,769;79,3;13,8;7,9;16509;-1
69;Costa Rica;0,766;79,4;13,9;8,4;13413;10
69;Iran (Islamic Republic of);0,766;75,4;15,1;8,2;15440;4
71;Venezuela (Bolivarian Republic of);0,762;74,2;14,2;8,9;16159;-2
72;Turkey;0,761;75,3;14,5;7,6;18677;-12
73;Sri Lanka;0,757;74,9;13,7;10,8;9779;29
74;Mexico;0,756;76,8;13,1;8,5;16056;-4
75;Brazil;0,755;74,5;15,2;7,7;15175;-1
76;Georgia;0,754;74,9;13,8;12,1;7164;40
77;Saint Kitts and Nevis;0,752;73,8;12,9;8,4;20805;-21
78;Azerbaijan;0,751;70,8;11,9;11,2;16428;-11
79;Grenada;0,750;73,4;15,8;8,6;10939;14
80;Jordan;0,748;74,0;13,5;9,9;11365;11
81;The former Yugoslav Republic of Macedonia;0,747;75,4;13,4;9,3;11780;9
81;Ukraine;0,747;71,0;15,1;11,3;8178;25
83;Algeria;0,736;74,8;14,0;7,6;13054;-1
84;Peru;0,734;74,6;13,1;9,0;11015;8
85;Albania;0,733;77,8;11,8;9,3;9943;14
85;Armenia;0,733;74,7;12,3;10,9;8124;22
85;Bosnia and Herzegovina;0,733;76,5;13,6;8,3;9638;19
88;Ecuador;0,732;75,9;14,2;7,6;10605;7
89;Saint Lucia;0,729;75,1;12,6;9,3;9765;14
90;China;0,727;75,8;13,1;7,5;12547;-7
90;Fiji;0,727;70,0;15,7;9,9;7493;21
90;Mongolia;0,727;69,4;14,6;9,3;10729;4
93;Thailand;0,726;74,4;13,5;7,3;13323;-13
94;Dominica;0,724;77,8;12,7;7,9;9994;4
94;Libya;0,724;71,6;14,0;7,3;14911;-19
96;Tunisia;0,721;74,8;14,6;6,8;10404;1
97;Colombia;0,720;74,0;13,5;7,3;12040;-9
97;Saint Vincent and the Grenadines;0,720;72,9;13,4;8,6;9937;3
99;Jamaica;0,719;75,7;12,4;9,7;7415;13
100;Tonga;0,717;72,8;14,7;10,7;5069;32
101;Belize;0,715;70,0;13,6;10,5;7614;9
101;Dominican Republic;0,715;73,5;13,1;7,6;11883;-12
103;Suriname;0,714;71,1;12,7;7,7;15617;-32
104;Maldives;0,706;76,8;13,0;5,8;12328;-19
105;Samoa;0,702;73,4;12,9;10,3;5327;24
