HDI rank;Country;Human Development Index (HDI) ;Life expectancy at birth;Expected years of schooling ;Mean years of schooling;Gross national income (GNI) per capita (2011 PPP $);GNI per capita rank minus HDI rank
145;Kenya;0,548;61,6;11,0;6,3;2762;9
145;Nepal;0,548;69,6;12,4;3,3;2311;16
147;Pakistan;0,538;66,2;7,8;4,7;4866;-14
148;Myanmar;0,536;65,9;8,6;4,1;4608;-12
149;Angola;0,532;52,3;11,4;4,7;6822;-30
150;Swaziland;0,531;49,0;11,3;7,1;5542;-25
151;Tanzania (United Republic of);0,521;65,0;9,2;5,1;2411;8
152;Nigeria;0,514;52,8;9,0;5,9;5341;-24
153;Cameroon;0,512;55,5;10,4;6,0;2803;-1
154;Madagascar;0,510;65,1;10,3;6,0;1328;24
155;Zimbabwe;0,509;57,5;10,9;7,3;1615;13
156;Mauritania;0,506;63,1;8,5;3,8;3560;-14
156;Solomon Islands;0,506;67,9;9,2;5,0;1540;16
158;Papua New Guinea;0,505;62,6;9,9;4,0;2463;-1
159;Comoros;0,503;63,3;11,5;4,6;1456;16
160;Yemen;0,498;63,8;9,2;2,6;3519;-17
161;Lesotho;0,497;49,8;11,1;5,9;3306;-16
162;Togo;0,484;59,7;12,2;4,5;1228;17
163;Haiti;0,483;62,8;8,7;4,9;1669;4
163;Rwanda;0,483;64,2;10,3;3,7;1458;11
163;Uganda;0,483;58,5;9,8;5,4;1613;6
166;Benin;0,480;59,6;11,1;3,3;1767;0
167;Sudan;0,479;63,5;7,0;3,1;3809;-27
168;Djibouti;0,470;62,0;6,4;3,8;3276;-22
169;South Sudan;0,467;55,7;7,6;5,4;2332;-9
170;Senegal;0,466;66,5;7,9;2,5;2188;-8
171;Afghanistan;0,465;60,4;9,3;3,2;1885;-7
172;C_te d'Ivoire;0,462;51,5;8,9;4,3;3171;-24
173;Malawi;0,445;62,8;10,8;4,3;747;13
174;Ethiopia;0,442;64,1;8,5;2,4;1428;2
175;Gambia;0,441;60,2;8,8;2,8;1507;-2
176;Congo (Democratic Republic of the);0,433;58,7;9,8;6,0;680;11
177;Liberia;0,430;60,9;9,5;4,1;805;7
178;Guinea-Bissau;0,420;55,2;9,0;2,8;1362;-1
179;Mali;0,419;58,0;8,4;2,0;1583;-8
180;Mozambique;0,416;55,1;9,3;3,2;1123;1
181;Sierra Leone;0,413;50,9;8,6;3,1;1780;-16
182;Guinea;0,411;58,8;8,7;2,4;1096;0
183;Burkina Faso;0,402;58,7;7,8;1,4;1591;-13
184;Burundi;0,400;56,7;10,1;2,7;758;1
185;Chad;0,392;51,6;7,4;1,9;2085;-22
186;Eritrea;0,391;63,7;4,1;3,9;1130;-6
187;Central African Republic;0,350;50,7;7,2;4,2;581;1
188;Niger;0,348;61,4;5,4;1,5;908;-5
