HDI rank;Country;Human Development Index (HDI) ;Life expectancy at birth;Expected years of schooling ;Mean years of schooling;Gross national income (GNI) per capita (2011 PPP $);GNI per capita rank minus HDI rank
106;Botswana;0,698;64,5;12,5;8,9;16646;-41
107;Moldova (Republic of);0,693;71,6;11,9;11,2;5223;23
108;Egypt;0,690;71,1;13,5;6,6;10512;-12
109;Turkmenistan;0,688;65,6;10,8;9,9;13066;-28
110;Gabon;0,684;64,4;12,5;7,8;16367;-42
110;Indonesia;0,684;68,9;13,0;7,6;9788;-9
112;Paraguay;0,679;72,9;11,9;7,7;7643;-3
113;Palestine, State of;0,677;72,9;13,0;8,9;4699;21
114;Uzbekistan;0,675;68,4;11,5;10,9;5567;10
115;Philippines;0,668;68,2;11,3;8,9;7915;-7
116;El Salvador;0,666;73,0;12,3;6,5;7349;-3
116;South Africa;0,666;57,4;13,6;9,9;12122;-29
116;Viet Nam;0,666;75,8;11,9;7,5;5092;15
119;Bolivia (Plurinational State of);0,662;68,3;13,2;8,2;5760;4
120;Kyrgyzstan;0,655;70,6;12,5;10,6;3044;29
121;Iraq;0,654;69,4;10,1;6,4;14003;-44
122;Cabo Verde;0,646;73,3;13,5;4,7;6094;-1
123;Micronesia (Federated States of);0,640;69,1;11,7;9,7;3432;21
124;Guyana;0,636;66,4;10,3;8,5;6522;-4
125;Nicaragua;0,631;74,9;11,5;6,0;4457;12
126;Morocco;0,628;74,0;11,6;4,4;6850;-8
126;Namibia;0,628;64,8;11,3;6,2;9418;-21
128;Guatemala;0,627;71,8;10,7;5,6;6929;-11
129;Tajikistan;0,624;69,4;11,2;10,4;2517;27
130;India;0,609;68,0;11,7;5,4;5497;-4
131;Honduras;0,606;73,1;11,1;5,5;3938;7
132;Bhutan;0,605;69,5;12,6;3,0;7176;-17
133;Timor-Leste;0,595;68,2;11,7;4,4;5363;-6
134;Syrian Arab Republic;0,594;69,6;12,3;6,3;2728;21
134;Vanuatu;0,594;71,9;10,6;6,8;2803;19
136;Congo;0,591;62,3;11,1;6,1;6012;-14
137;Kiribati;0,590;66,0;12,3;7,8;2434;21
138;Equatorial Guinea;0,587;57,6;9,0;5,5;21056;-84
139;Zambia;0,586;60,1;13,5;6,6;3734;2
140;Ghana;0,579;61,4;11,5;7,0;3852;-1
141;Lao People's Democratic Republic;0,575;66,2;10,6;5,0;4680;-6
142;Bangladesh;0,570;71,6;10,0;5,1;3191;5
143;Cambodia;0,555;68,4;10,9;4,4;2949;7
143;Sao Tome and Principe;0,555;66,5;11,3;4,7;2918;8
